Year,OTP,NE,SS,LDB,SD,LD,HODbC,Amtrak,HR,Other
1980,69.0,N,N,N,71.0,64.0,N,N,N,N
1985,81.0,N,N,N,82.0,78.0,N,N,N,N
1990,76.0,N,N,N,82.0,53.0,12126,3565,4244,4316
1991,77.0,N,N,N,82.0,59.0,21084,5915,7743,7426
1992,77.0,N,N,N,82.0,61.0,22847,6433,8229,8185
1993,72.0,N,N,N,79.0,47.0,32991,8488,12827,11675
1994,72.0,N,N,N,78.0,49.0,34729,8538,14319,11871
1995,76.0,N,N,N,81.0,57.0,25248,5527,11224,8497
1996,71.0,N,N,N,76.0,49.0,25056,5193,11438,8425
1997,74.0,N,N,N,79.0,53.0,25825,5310,12904,7611
1998,79.0,N,N,N,81.0,59.0,27289,4796,14202,8291
1999,79.0,N,N,N,80.0,54.6,29252,4891,16158,8203
2000,78.2,N,N,N,82.0,55.0,70396,23337,43881,3176
2001,75.1,N,N,N,78.7,52.1,83837,27822,52273,3741
2002,76.1,N,N,N,79.7,51.6,85932,26575,55090,4266
2003,74.1,N,N,N,77.1,52.8,88413,25711,57346,5355
2004,70.7,N,N,N,75.2,40.7,95162,28328,61256,5577
2005,69.8,N,N,N,73.6,42.1,95259,25549,64097,5613
2006,67.8,N,N,N,72.8,29.9,101522,23968,71387,6166
2007,68.6,N,N,N,72.2,39.5,101655,22902,72565,6187
2008,71.2,N,N,N,73.6,52.0,94566,23223,64724,6618
2009,80.4,N,N,N,81.0,75.0,79304,21813,46842,10648
2010,79.7,N,N,N,80.3,74.7,79976,23404,44090,12482
2011,78.1,N,N,N,79.8,63.6,86021,26121,48707,11192
2012,83.0,N,N,N,84.5,70.7,79235,21384,46564,11286
2013,82.0,86.2,82.0,72.0,83.6,71.9,78604,22379,44632,11592
2014,72.0,77.3,73.8,50.0,75.1,50.6,100018,31787,57413,10816
2015,71.0,76.5,71.4,54.0,73.3,53.7,102058,31582,57701,12774
2016,79.0,80.3,81.4,63.0,81.1,63.0,89983,26339,48555,15087
2017,75.0,76.7,77.7,52.1,N,N,95033,27451,53332,14250
2018,73.0,79.7,76.4,43.1,N,N,96378,26967,55217,14194
2019,75.0,84.1,75.6,50.2,N,N,96961,30589,53702,12670
2020,80.0,86.9,80.9,58.7,N,N,73265,15690,41868,15707
2021,78.0,83.0,82.0,52.0,N,N,59073,12080,34397,12597
2022,74.0,79.0,79.0,44.0,N,N,86366,19597,51446,15323
2023,74.0,78.0,78.0,53.0,N,N,93317,21654,53696,17968
