Year,HOD,OnT,Short,Amtrak,HRR,Other
1980,N,69.0,71.0,64.0,N,N,N
1985,N,81.0,82.0,78.0,N,N,N
1990,12126,76.0,82.0,53.0,3565,4244,4316
1991,21084,77.0,82.0,59.0,5915,7743,7426
1992,22847,77.0,82.0,61.0,6433,8229,8185
1993,32991,72.0,79.0,47.0,8488,12827,11675
1994,34729,72.0,78.0,49.0,8538,14319,11871
1995,25248,76.0,81.0,57.0,5527,11224,8497
1996,25056,71.0,76.0,49.0,5193,11438,8425
1997,25825,74.0,79.0,53.0,5310,12904,7611
1998,27289,79.0,81.0,59.0,4796,14202,8291
1999,29252,79.0,80.0,54.6,4891,16158,8203
2000,70396,78.2,82.0,55.0,23337,43881,3176
2001,83837,75.1,78.7,52.1,27822,52273,3741
2002,85932,76.1,79.7,51.6,26575,55090,4266
2003,88413,74.1,77.1,52.8,25711,57346,5355
2004,95162,70.7,75.2,40.7,28328,61256,5577
2005,95259,69.8,73.6,42.1,25549,64097,5613
2006,101522,67.8,72.8,29.9,23968,71387,6166
2007,101655,68.6,72.2,39.5,22902,72565,6187
2008,94566,71.2,73.6,52.0,23223,64724,6618
2009,79304,80.4,81.0,75.0,21813,46842,10648
2010,79976,79.7,80.3,74.7,23404,44090,12482
2011,86021,78.1,79.8,63.6,26121,48707,11192
2012,79235,83.0,84.5,70.7,21384,46564,11286
2013,77719,82.3,86.1,58.0,17467,48733,11520
2014,98779,72.4,75.7,69.1,24603,63191,10984
2015,100847,71.2,74.2,68.1,24191,63632,13025
